Feature	Gain	Cover	Frequency	pos
ctrx_quarter_normalizado	0.259191881260993	0.0138273130084947	0.00225988700564972	1
mtarjeta_visa_consumo	0.0223558967107516	0.00648471734315821	0.00206618240516546	2
mdescubierto_preacordado_tend6	0.0221525494877074	0.00741017417804479	0.00138821630347054	3
mcaja_ahorro	0.0212204756619773	0.00286493622054408	0.00174334140435835	4
mcuentas_saldo	0.0184913687009686	0.00477118234885846	0.00267958030669895	5
cpayroll_trx	0.0126295516296294	0.0050789876241447	0.00116222760290557	6
mv_status06_ratioavg3	0.0109543402625731	0.00241682213153641	0.000387409200968523	7
mcuentas_saldo_avg3	0.00855451682838702	0.00139381914104295	0.00103309120258273	8
mprestamos_personales_ratiomax6	0.00784142421476501	0.00398016701323508	0.00193704600484262	9
ctarjeta_visa_ratioavg6	0.0075226610160458	0.000853444406014304	9.68523002421307e-05	10
cproductos_ratioavg6	0.00676696961479493	0.00492788961442433	0.00184019370460048	11
ctarjeta_visa_trx_ratioavg6	0.00666071984062474	0.00355716202724474	0.00177562550443906	12
mprestamos_personales_ratioavg6	0.00585732562898426	0.00460673332491108	0.00187247780468119	13
foto_mes	0.00566568091487577	0.00594983221861827	0.00445520581113802	14
mpasivos_margen	0.00516890745514014	0.00278837726811322	0.00167877320419693	15
mpayroll_sobre_edad	0.00499432539810247	0.00358094095541289	0.00119451170298628	16
mtarjeta_visa_consumo_delta6	0.00466274044134421	0.00105428673231689	0.00129136400322841	17
mdescubierto_preacordado_delta4	0.00442265172014351	0.000573772211488952	0.000161420500403551	18
mprestamos_personales	0.00391466320212735	0.0059193414205321	0.00167877320419693	19
mpayroll	0.00382755716892225	0.00516328833495706	0.00106537530266344	20
cpayroll_trx_ratioavg6	0.00382724831544336	0.00456295016228262	0.000903954802259887	21
mprestamos_personales_ratiomax3	0.00375803233488187	0.00700676053273442	0.00235673930589185	22
mcomisiones_mantenimiento_delta6	0.00357094892852288	0.00412952430031331	0.00245359160613398	23
mdescubierto_preacordado	0.00334925270397093	0.00237256977143028	0.000936238902340597	24
mv_status04_delta3	0.00330287256227908	0.00358960703282539	0.000774818401937046	25
mpasivos_margen_avg3	0.00319603931212643	0.000813628308059515	0.00145278450363196	26
mcuentas_saldo_ratioavg3	0.00287050607717198	0.00270528004883107	0.00338983050847458	27
mprestamos_personales_ratioavg3	0.00284429181663206	0.00491859246640436	0.000936238902340597	28
ccaja_ahorro	0.00283430640430858	0.00304220606556869	0.00148506860371267	29
mpayroll_ratiomax3	0.00279250598276658	0.00191514211249094	0.000903954802259887	30
mcuentas_saldo_ratioavg6	0.00269489565688149	0.00139073416762729	0.00297013720742534	31
mcuentas_saldo_delta4	0.00252432574875111	0.00132401194031571	0.00235673930589185	32
mdescubierto_preacordado_delta1	0.00249876074693728	0.00620798936280522	0.0012590799031477	33
mrentabilidad_annual_delta5	0.00234323894148979	0.00245969739704559	0.00326069410815174	34
mcuentas_saldo_ratiomax6	0.00220985796326266	0.00129606653854588	0.00242130750605327	35
mactivos_margen_delta5	0.00220660762431943	0.00185424497186459	0.00184019370460048	36
mactivos_margen_avg3	0.0021860013939166	0.00422831382923601	0.00216303470540759	37
mcaja_ahorro_dolares_delta1	0.00214713224990622	0.00773291635503254	0.00200161420500404	38
cproductos_ratiomax6	0.0021142507706045	0.00409339844052037	0.00100080710250202	39
mv_status01	0.00210364280180452	0.00401126307606744	0.000807102502017756	40
cliente_edad_avg3	0.00202257794890781	0.00254713469299615	0.00209846650524617	41
mcuentas_saldo_delta6	0.0019799061318039	0.00213353477044564	0.00209846650524617	42
mprestamos_personales_lag5	0.00197848052970171	8.1060902229073e-05	0.000161420500403551	43
mtarjeta_visa_consumo_delta5	0.00197719947135246	0.000145233041249536	0.000419693301049233	44
