Feature	Gain	Cover	Frequency	pos
ctrx_quarter_normalizado	0.326999919408567	0.044168240545554	0.00821247597413944	1
ctrx_quarter	0.0392221150576152	0.0112243315980891	0.00192206884501136	2
mdescubierto_preacordado_tend6	0.0347224802562066	0.00721480264507502	0.00436833828411672	3
mcaja_ahorro	0.0319266977146357	0.0102175952418978	0.00401887122138738	4
mtarjeta_visa_consumo	0.0318243715132318	0.0257904535837586	0.00821247597413944	5
mcuentas_saldo	0.0255518410523168	0.0141279632987016	0.00891141009959811	6
cpayroll_trx	0.0172954568120424	0.0182858342250346	0.00646514066049275	7
mv_status06_ratioavg3	0.0149760846623817	0.00122741318366129	0.000174733531364669	8
mprestamos_personales_ratioavg6	0.0119589220225515	0.0046290897392084	0.00471780534684606	9
mcuentas_saldo_avg3	0.0118858951712709	0.00313653317687861	0.00139786825091735	10
cproductos_ratioavg6	0.0110919792472873	0.0106768134433654	0.00594094006639874	11
mv_status07_ratioavg3	0.010751561449129	0.00264809270737261	0.000873667656823344	12
mprestamos_personales_ratiomax6	0.00944706895203363	0.00651436436170638	0.00803774244277477	13
foto_mes	0.00939930039407947	0.0127764139204131	0.0165996854796435	14
mpayroll_sobre_edad	0.00921945627735016	0.0132949728075107	0.0050672724095754	15
ctarjeta_visa_ratioavg6	0.00852474867155937	0.00243300707385391	0.000524200594094007	16
ctarjeta_visa_trx_ratioavg6	0.00819183261321209	0.0128386281290669	0.00594094006639874	17
mpasivos_margen	0.00739453717034102	0.0039300541247056	0.00331993709592871	18
mdescubierto_preacordado	0.00565232896862898	0.00117912825610583	0.00192206884501136	19
mpayroll	0.00446269327513136	0.0180223078118642	0.00349467062729338	20
ctarjeta_visa_tend6	0.00418697292662333	0.00226301139991847	0.000524200594094007	21
mprestamos_personales_ratioavg3	0.00413140000832593	0.00618910103692686	0.00262100297047003	22
mprestamos_personales_lag2	0.00406314675786699	0.000569415374240431	0.00157260178228202	23
ccaja_ahorro	0.00387567596807873	0.00784857519429204	0.00576620653503407	24
cpayroll_trx_ratioavg6	0.00385217247927894	0.0151276278660275	0.00349467062729338	25
mprestamos_personales	0.00365244294566648	0.00483001231348449	0.00419360475275205	26
mcuenta_corriente_ratioavg6	0.0035679899546724	0.00213807646329825	0.00489253887821073	27
cproductos_ratiomax6	0.00337234780779622	0.000928469381628365	0.00192206884501136	28
mcomisiones_mantenimiento	0.00330072294141199	0.00986925606612399	0.00663987419185742	29
mcuentas_saldo_ratioavg6	0.00324307634817782	0.00348210597794482	0.00471780534684606	30
mactivos_margen	0.0029757274828095	0.00508850275579625	0.0055914730036694	31
mcaja_ahorro_ratioavg6	0.00291308359787982	0.00336838265149535	0.00471780534684606	32
mprestamos_personales_ratiomax3	0.00261603303400045	0.00641051816185388	0.00436833828411672	33
mdescubierto_preacordado_delta1	0.00255980152964417	0.0102303069284946	0.00314520356456404	34
cproductos	0.00248851788129476	0.00727075354761256	0.00471780534684606	35
mcuenta_corriente	0.0023252833036767	0.000775062215182729	0.00331993709592871	36
