Feature	Gain	Cover	Frequency	pos
ctrx_quarter_normalizado	0.293822628000611	0.0312839722169511	0.0059065228556754	1
mcuentas_saldo	0.049293908508819	0.0130050396117329	0.00821777092963534	2
ctrx_quarter	0.0486222482067306	0.0127116818589163	0.0032100667693888	3
mtarjeta_visa_consumo	0.0354763626220672	0.0229320125035493	0.00744735490498202	4
mcaja_ahorro	0.0301321547870452	0.00887708658856766	0.00436569080636877	5
cpayroll_trx	0.0180188195694126	0.0183776108943111	0.00654853620955316	6
mv_status06_ratioavg3	0.0155293280593013	0.00152654765805539	0.000770416024653313	7
mdescubierto_preacordado	0.0119157844579782	0.000924331884654461	0.00179763739085773	8
cproductos_ratioavg6	0.0118935951266573	0.0080487633774641	0.00552131484334874	9
mprestamos_personales_ratioavg6	0.0112809995715519	0.00639580642392737	0.00487930148947098	10
mdescubierto_preacordado_tend6	0.0105942238572637	0.00487495044619887	0.0032100667693888	11
mv_status07_ratioavg3	0.00916565694504496	0.00247111912795659	0.00115562403697997	12
mpayroll_sobre_edad	0.00837026286948752	0.0133588161634873	0.00410888546481767	13
mprestamos_personales_ratiomax6	0.00815618645329768	0.00648417369793533	0.00693374422187982	14
ctarjeta_visa_ratioavg6	0.00706713998077668	0.00184699151013515	0.000385208012326656	15
ctarjeta_visa_trx_ratioavg6	0.00688179551766585	0.00841033130716263	0.00449409347714432	16
foto_mes	0.00647219737139081	0.00657976243196277	0.0105290190035953	17
mdescubierto_preacordado_delta4	0.00640862416031956	0.00167257412841833	0.000770416024653313	18
mpasivos_margen	0.00602907739247888	0.00406299737759016	0.00372367745249101	19
mtarjeta_visa_consumo_delta5	0.0051720657606043	0.000362032862742354	0.00141242937853107	20
ctarjeta_visa_tend6	0.00509107588170598	0.00177890131597423	0.000256805341551104	21
mcomisiones_mantenimiento_delta5	0.00478831043145481	0.002921654245268	0.00513610683102209	22
mprestamos_personales	0.00439870032753933	0.00307416728148438	0.00346687211093991	23
mprestamos_personales_delta3	0.00430962962621627	0.00766823067892935	0.00385208012326656	24
ccaja_ahorro	0.00364212362520952	0.00663963380973598	0.00513610683102209	25
mpayroll	0.00328542222671546	0.0123324839681525	0.00269645608628659	26
cpayroll_trx_ratioavg6	0.00318080797451915	0.0112055087666687	0.0029532614278377	27
mpasivos_margen_avg3	0.00317912529549655	0.00102057302472728	0.00166923472008218	28
mprestamos_personales_ratioavg3	0.00313969539451406	0.00630548943070336	0.00308166409861325	29
mpayroll_ratiomax3	0.00308774600454186	0.00442139326410255	0.00179763739085773	30
mdescubierto_preacordado_delta1	0.00301712554547941	0.00796035860885584	0.00282485875706215	31
mactivos_margen	0.00291736289085912	0.00297799363169212	0.00410888546481767	32
mcuentas_saldo_delta5	0.00286556538696286	0.0024013566746219	0.00423728813559322	33
mactivos_margen_avg3	0.00272169105082611	0.00403123195220848	0.00346687211093991	34
mv_status04_delta3	0.00263086823736233	0.0014252222501807	0.000770416024653313	35
mcaja_ahorro_ratioavg6	0.00260958415000269	0.00520665767621141	0.00526450950179764	36
mcuentas_saldo_ratioavg3	0.00260087475764476	0.00228150893419461	0.00436569080636877	37
mprestamos_personales_ratiomax3	0.00229797424655012	0.00300642953656637	0.00192604006163328	38
mcuentas_saldo_ratioavg6	0.00229482636336214	0.00110828789268985	0.0032100667693888	39
mrentabilidad_annual_delta5	0.00227363557210428	0.00115873312794541	0.00359527478171546	40
mv_status01	0.0022449486244706	0.00704450050387119	0.00192604006163328	41
mcuentas_saldo_delta3	0.00223190181875907	0.00114250546493173	0.0029532614278377	42
Visa_Finiciomora	0.00212932939621586	0.00776896367211917	0.00333846944016436	43
cproductos_ratioavg3	0.00212731855770352	0.00091917262765196	0.00141242937853107	44
mrentabilidad_avg6	0.00207152934146873	0.000914238338251313	0.0029532614278377	45
mcomisiones_mantenimiento_delta4	0.0020393362334766	0.00246505250162661	0.0032100667693888	46
mtarjeta_visa_debitos_automaticos_tend3	0.00201724592581867	0.00433752534213167	0.00410888546481767	47
mv_msaldopesos	0.00201391710844531	0.000592662149242232	0.00141242937853107	48
mprestamos_personales_lag5	0.00197817763589788	0.000335321709482313	0.000642013353877761	49
cpayroll_trx_avg3	0.00194645683333597	0.00171006122980714	0.000642013353877761	50
cliente_edad_avg3	0.00194096075021669	0.00890555998804222	0.00449409347714432	51
cproductos_ratiomax6	0.00189553197442611	0.000701696446940435	0.00141242937853107	52
mcaja_ahorro_dolares_delta1	0.00187264994201197	0.00522528499364485	0.00385208012326656	53
mv_mpagominimo	0.00184432833294456	0.00294852287584934	0.00256805341551104	54
cproductos	0.00182510820521022	0.00428133593410879	0.0032100667693888	55
mcuenta_debitos_automaticos	0.00179492820978641	0.00875856615699132	0.00346687211093991	56
mcuenta_corriente_avg3	0.00178721358687023	0.000583310995925199	0.00205444273240883	57
ctarjeta_master_trx_ratioavg6	0.00171068414844894	0.0067891547768477	0.00333846944016436	58
mactivos_margen_delta5	0.00169599588602115	0.00145632777059694	0.00282485875706215	59
mcomisiones_mantenimiento	0.00169415581172646	0.00756863002266886	0.00346687211093991	60
mtransferencias_recibidas	0.00169302599952241	0.00645501039781509	0.0029532614278377	61
mpayroll_lag3	0.00168387332063565	0.00302984116499923	0.00282485875706215	62
Visa_fechaalta_tend3	0.00168210862677609	0.00256682034578495	0.00243965074473549	63
mcuenta_corriente	0.0016536816350342	0.0010268271240588	0.00243965074473549	64
Visa_cconsumos_avg3	0.00164480688334027	0.00428159089739089	0.00436569080636877	65
mv_fechaalta_tend3	0.00164358945252465	0.00824916451719497	0.00269645608628659	66
numero_de_cliente	0.00164348265673648	0.00194398254221414	0.00423728813559322	67
ccallcenter_trx_ratioavg3	0.00162848815477131	0.00256291340843277	0.00205444273240883	68
ccaja_seguridad	0.00162625353246114	0.00574644494009807	0.00282485875706215	69
ccomisiones_otras_avg3	0.00159370410423847	0.0181104693660304	0.00410888546481767	70
ctarjeta_visa_trx_ratioavg3	0.0015395260712629	0.00386895532207168	0.00179763739085773	71
ccajas_consultas_tend3	0.00152845577903173	0.0168233397287873	0.00385208012326656	72
mplazo_fijo_dolares_ratioavg3	0.00150866867420494	0.00919159129595849	0.0032100667693888	73
chomebanking_trx_delta1	0.00150811924559211	0.00375143224686355	0.00398048279404212	74
cliente_edad_lag5	0.0014809135832462	0.00275958758489293	0.00372367745249101	75
mrentabilidad_annual_lag5	0.0014804471806255	0.00109027548670147	0.00346687211093991	76
ctarjeta_visa_trx_tend6	0.00146435738481779	0.0026123237927198	0.00205444273240883	77
chomebanking_trx_lag5	0.00145910664660683	0.00143638814215268	0.00385208012326656	78
ccaja_ahorro_delta4	0.00144646038490791	0.00311667116039451	0.00205444273240883	79
ccomisiones_mantenimiento_delta3	0.00142608484758353	0.00129224390072525	0.00218284540318439	80
ctrx_quarter_delta4	0.00142162673540601	0.00174091178694128	0.00333846944016436	81
ccallcenter_trx_delta4	0.00141321416090035	0.00295776904428551	0.00205444273240883	82
mv_mpagominimo_delta2	0.00141039163601023	0.00526277209503366	0.0032100667693888	83
ccomisiones_mantenimiento_ratioavg3	0.00140804542222689	0.000667853820701646	0.00192604006163328	84
mcuenta_corriente_ratioavg6	0.00138159114135432	0.00145938732998214	0.00359527478171546	85
mautoservicio_ratiomax6	0.00137929599160211	0.00352994414391897	0.0029532614278377	86
mcaja_ahorro_dolares_ratioavg3	0.00136958453196042	0.00293135784782794	0.00333846944016436	87
mcuentas_saldo_ratiomax6	0.00136433556570501	0.00141668098023033	0.00243965074473549	88
mcuentas_saldo_delta4	0.00135877079496853	0.000413940387409958	0.0029532614278377	89
mcomisiones_mantenimiento_ratioavg3	0.00135551831494193	0.003267984369401	0.0032100667693888	90
mcomisiones_ratiomax6	0.0013545762201471	0.00226044446774109	0.00423728813559322	91
chomebanking_trx_delta3	0.00134994618238389	0.000673035574464332	0.00218284540318439	92
mcuenta_corriente_delta2	0.00134793512411569	0.00448075471531156	0.00333846944016436	93
mactivos_margen_avg6	0.00134281066485867	0.00392907416420693	0.00333846944016436	94
mprestamos_personales_avg3	0.00132044410460325	0.000593029596325259	0.000898818695428865	95
mpagomiscuentas	0.00131936259696426	0.010201508355278	0.00243965074473549	96
ctrx_quarter_normalizado_ratiomax3	0.00128359246569159	0.000976996800248304	0.00308166409861325	97
mpasivos_margen_lag5	0.00128215937509093	0.00109949915837745	0.00269645608628659	98
ctrx_quarter_ratioavg3	0.00127560106860545	0.00084125134929006	0.00205444273240883	99
ctrx_quarter_delta5	0.00125749636602014	0.00104944386696511	0.0029532614278377	100
mcuenta_corriente_ratioavg3	0.0012514747172717	0.000689098261236654	0.00308166409861325	101
mtransferencias_emitidas_avg3	0.00124057730614697	0.00285687857377439	0.00346687211093991	102
mcomisiones_ratioavg6	0.00123025086805524	0.00114108067011999	0.00308166409861325	103
ctrx_quarter_normalizado_ratioavg3	0.00121804155612734	0.000783337189652975	0.00192604006163328	104
mcaja_ahorro_ratioavg3	0.00121568355897875	0.00271547893708957	0.00269645608628659	105
ccomisiones_mantenimiento_avg3	0.00121119565736344	0.00523768820742703	0.00308166409861325	106
mtarjeta_visa_debitos_automaticos_ratioavg3	0.00120709658454761	0.00208183518970974	0.00269645608628659	107
Visa_fechaalta_lag5	0.00119436025354193	0.00234645708084964	0.0032100667693888	108
mcuentas_saldo_delta2	0.00118516035635172	0.00292807332084088	0.0029532614278377	109
mrentabilidad_annual_delta4	0.0011701878438819	0.00433973752354989	0.0032100667693888	110
mpasivos_margen_delta5	0.00114674016820998	0.0020757235698594	0.00218284540318439	111
mpayroll_ratioavg6	0.00114659746876381	0.00264731375372804	0.00115562403697997	112
mv_Finiciomora_avg3	0.00114619417780287	0.00172018477189054	0.000770416024653313	113
mtransferencias_recibidas_avg3	0.0011356516849219	0.00211877486993404	0.00282485875706215	114
ccallcenter_trx_ratiomax3	0.00112147362885716	0.00306609094457784	0.00205444273240883	115
mv_fechaalta_ratioavg3	0.00111855261439432	0.00265104071699874	0.00256805341551104	116
mprestamos_personales_tend6	0.00111745592134671	0.00105182852354475	0.000385208012326656	117
mcuenta_corriente_avg6	0.00110871503713844	0.00121325027679451	0.00256805341551104	118
mpayroll_avg3	0.00109032147102875	0.00180870952321979	0.00128402670775552	119
mcaja_ahorro_lag3	0.00108889226370899	0.00121437511480378	0.00243965074473549	120
mv_mpagominimo_avg3	0.0010696607031061	0.00101817337030751	0.00141242937853107	121
ctrx_quarter_delta1	0.00106490314991449	0.00135425996963612	0.0032100667693888	122
mprestamos_personales_lag3	0.00106382651306693	0.000778740351655107	0.00102722136620442	123
chomebanking_trx_ratioavg3	0.00106362657556244	0.000450362642149997	0.00256805341551104	124
mtransferencias_emitidas_tend3	0.00105327572370652	0.00182049032663684	0.0032100667693888	125
Master_mfinanciacion_limite	0.00105220070999249	0.00105014126653085	0.00256805341551104	126
mcaja_ahorro_avg3	0.00104501469312526	0.00178969976086319	0.00218284540318439	127
mv_msaldototal	0.0010379990232177	0.00105394321900217	0.00128402670775552	128
mcuenta_corriente_ratiomax3	0.00103644617540528	0.00146201195200376	0.0029532614278377	129
Visa_mfinanciacion_limite_ratioavg3	0.00103372325138495	0.0123041005557187	0.00256805341551104	130
ccaja_ahorro_ratioavg3	0.00102537286639893	0.00999907500821038	0.00231124807395994	131
mcaja_ahorro_dolares_ratioavg6	0.00102434205004061	0.00161757704868528	0.00269645608628659	132
mpayroll_delta4	0.00102298378631283	0.00110835538297041	0.00218284540318439	133
mactivos_margen_lag2	0.0010051981219579	0.00393631062206654	0.00243965074473549	134
Visa_fechaalta_lag4	0.000966009001081476	0.0008576439885451	0.00243965074473549	135
mactivos_margen_lag5	0.000948844950969258	0.001252154674075	0.00243965074473549	136
mv_msaldototal_avg3	0.000936059041370834	0.00225058338785986	0.00205444273240883	137
mcuentas_saldo_ratiomax3	0.000928626942439522	0.0020716216605856	0.00243965074473549	138
mrentabilidad_annual	0.000920592560827531	0.000387296724430473	0.00102722136620442	139
mprestamos_hipotecarios_avg6	0.000916013001543435	0.01370025699174	0.00282485875706215	140
