Feature	Gain	Cover	Frequency
cliente_edad	0.132987184518124	0.0110922008704263	0.025
minversion2	0.11258157866027	0.00511671833593827	0.00133333333333333
Master_mpagospesos	0.0959765836227172	0.0159822397259476	0.012
Master_cconsumos	0.0518684031537025	0.00391805423431256	0.00466666666666667
ctarjeta_visa_trx	0.0511221340944276	0.0513321518032318	0.0176666666666667
Visa_msaldopesos	0.049813092922812	0.00449816422791141	0.0146666666666667
Visa_mpagospesos	0.0475774407190084	0.0103183191765447	0.0183333333333333
mpayroll	0.0418181356562065	0.148299985032807	0.0396666666666667
mtransferencias_recibidas	0.0400978373325969	0.0165954722712697	0.0126666666666667
ctrx_quarter	0.0343308512784812	0.0469067116217011	0.0336666666666667
mrentabilidad_annual	0.0328612212142542	0.0178439514497846	0.0353333333333333
Visa_msaldototal	0.0293989845787166	0.00830940539196961	0.0136666666666667
ctarjeta_visa_debitos_automaticos	0.0287999635664463	0.000602971236070631	0.005
Visa_mconsumospesos	0.0287665222793649	0.0192598689454219	0.021
mautoservicio	0.0263834287515128	0.00225765507988262	0.011
mactivos_margen	0.0247296300576054	0.0364092013494147	0.0266666666666667
mcomisiones_otras	0.0208266728296158	0.00547288122100226	0.009
Master_msaldototal	0.0137440941559311	0.00191567905144648	0.005
mtarjeta_visa_descuentos	0.0133988898960059	0.0228007484742149	0.016
chomebanking_trx	0.0125608078408981	0.027851376819521	0.0203333333333333
numero_de_cliente	0.0125140294874078	0.0168903655946987	0.036
mtarjeta_visa_consumo	0.00995173567082793	0.0217494057508768	0.0133333333333333
Visa_mpagominimo	0.00832964822986244	0.00470785288928878	0.0116666666666667
mcaja_ahorro	0.00816963116742459	0.00673629895670644	0.0133333333333333
mcuenta_debitos_automaticos	0.00749104952214586	0.0228165341860052	0.011
Visa_mlimitecompra	0.0073525745988839	0.00390994064095097	0.00533333333333333
mtransferencias_emitidas	0.00586355194430151	0.00155062700894958	0.00866666666666667
mprestamos_personales	0.00542071901220332	0.0306778783163358	0.0146666666666667
mcuentas_saldo	0.0054132412399633	0.0186331415852587	0.0276666666666667
Master_mfinanciacion_limite	0.00379883840452041	0.0119105522149824	0.0216666666666667
Visa_mpagado	0.00373326859739043	0.00661732742816463	0.00633333333333333
mcomisiones	0.00357225307805055	0.00382106099837671	0.0156666666666667
mtarjeta_visa_debitos_automaticos	0.00269471537472105	0.0168109120385298	0.015
cliente_antiguedad	0.00203490304550839	0.00818096005000264	0.0233333333333333
Master_Fvencimiento	0.00197871517814021	0.0116492945087391	0.028
ctransferencias_emitidas	0.0019656368259454	0.0020880093880957	0.00666666666666667
cextraccion_autoservicio	0.00173968660907554	0.0044387440882927	0.00433333333333333
Visa_mfinanciacion_limite	0.00171671637734862	0.00729664996411883	0.011
Visa_cconsumos	0.00161951723834802	0.00192092902362163	0.007
Master_fechaalta	0.00159949808033223	0.0138792559853978	0.029
Visa_Fvencimiento	0.00159378211381484	0.00709373853954938	0.0256666666666667
mpagomiscuentas	0.00132537052927685	0.0156913196769148	0.00866666666666667
mcaja_ahorro_dolares	0.00125116724049145	0.0145969510452504	0.0156666666666667
cproductos	0.00111505388247386	0.00416147396691525	0.008
mpasivos_margen	0.0010310929693138	0.00780464443083906	0.02
mttarjeta_master_debitos_automaticos	0.00100455611961769	0.000982997631021646	0.003
matm	0.000606477153590075	0.000625832478542409	0.00266666666666667
ctarjeta_visa_trx2	0.000549848802967739	0.000334208455967911	0.00366666666666667
mrentabilidad	0.000532063768482696	0.0102313844100263	0.0213333333333333
cpayroll_trx	0.000490617476236585	0.0245315211193017	0.008
Visa_msaldodolares	0.000465534891555104	0.00520057470968131	0.008
mcuenta_corriente	0.000400883051152718	0.0208812631929414	0.025
Visa_fechaalta	0.000351421902221444	0.0143933595106491	0.022
Master_msaldopesos	0.00031676324633387	0.00638795137113046	0.00533333333333333
mextraccion_autoservicio	0.000294214180991148	0.00348559970813973	0.00366666666666667
Visa_mconsumosdolares	0.000219487350674291	0.00315208329395854	0.00466666666666667
Master_mpagosdolares	0.000174743437009211	0.00390498896264941	0.00366666666666667
Master_mconsumospesos	0.00014420889437473	0.000834125124591385	0.00333333333333333
ccheques_depositados	0.000131490126413039	0.00276375239756684	0.002
ccomisiones_otras	0.000131006233650474	0.0175752721919665	0.009
ctarjeta_visa_descuentos	0.000109993241898476	0.00760397617619899	0.004
Master_mpagominimo	0.000106435626094491	0.00224365913133388	0.004
Master_msaldodolares	0.000103372660640007	0.00370702921638152	0.003
ccajas_trx	0.000100636902265837	4.9874735663901e-06	0.000333333333333333
mcajeros_propios_descuentos	8.28544450024924e-05	0.00116539836884319	0.00266666666666667
ctarjeta_debito	7.71534678341055e-05	0.0012371559430735	0.00566666666666667
Visa_mpagosdolares	6.60030547024814e-05	0.00536616360478744	0.005
catm_trx	5.31098390729937e-05	0.00266399099448409	0.00133333333333333
cpagomiscuentas	5.05142158770724e-05	0.0010937839756722	0.00333333333333333
cprestamos_personales	4.80673110655975e-05	0.0015238163555915	0.00333333333333333
cinversion2	4.66544335825704e-05	0.00378357142434418	0.00166666666666667
mcheques_depositados	4.28643023910829e-05	0.000712540541716947	0.00266666666666667
mplazo_fijo_dolares	3.2635613370483e-05	0.00976342098114153	0.00366666666666667
ctarjeta_debito_trx	3.11521355855943e-05	0.00429472780612445	0.00533333333333333
