fecha	cp	minsplit	minbucket	maxdepth	xval_folds	ganancia	iteracion
20220520 210803	-0.556105078632887	2392	1191	20	5	9508000	89
20220520 210826	-0.917515973424285	1945	968	13	5	10324000	90
20220520 210846	-0.169124273665466	4420	1579	20	5	9102000	91
20220520 210908	-0.268804269404938	2570	1279	15	5	9680000	92
20220520 210926	-0.679703705313892	1909	20	7	5	10290000	93
20220520 210949	-0.875029984304827	3067	944	11	5	9866000	94
20220520 211017	-0.917308211878576	2102	406	20	5	10526000	95
20220520 211040	-0.940063295750983	2440	737	17	5	10218000	96
20220520 211101	-0.422669684238461	1934	355	8	5	10436000	97
20220520 211145	-0.912289279744191	22	1	20	5	8377000	98
20220520 211203	-0.194311564111512	3354	1677	7	5	9164000	99
20220520 211221	-0.485868483018396	7997	1379	10	5	7903000	100
20220520 211241	-0.144611492260299	938	469	7	5	10737000	101
20220520 211309	-0.89182038628745	2898	499	20	5	9733000	102
20220520 211332	-0.811050209509039	2207	1098	10	5	9739000	103
20220520 211359	-0.925019124961928	1918	397	16	5	10569000	104
20220520 211415	-0.999817396177377	4042	1999	5	5	8970000	105
20220520 211433	-0.13945451206271	973	485	6	5	10257000	106
20220520 211457	-0.160494776462644	1421	694	7	5	9671000	107
20220520 211527	-0.111530542162227	520	252	10	5	8196000	108
20220520 211552	-0.196087322069314	1278	436	8	5	10458000	109
20220520 211619	-0.173052098342104	1142	455	8	5	9912000	110
20220520 211632	-0.10725836554556	1163	545	3	5	8832000	111
20220520 211651	-0.198716448373208	5402	389	6	5	9233000	112
20220520 211722	-0.21562619742019	1585	584	19	5	10456000	113
20220520 211744	-0.144953203984798	2557	378	7	5	9996000	114
20220520 211816	-0.0863966695173639	1782	446	14	5	10564000	115
20220520 211843	-0.0869208749297078	2453	425	18	5	10231000	116
