fecha	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	verbosity	seed	max_depth	min_gain_to_split	lambda_l1	lambda_l2	max_bin	num_iterations	force_row_wise	seed	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	prob_corte	ganancia	iteracion
20220530 041333	binary	custom	TRUE	TRUE	FALSE	-100	999007	-1	0	0	0	31	20	TRUE	999007	0.185433293454965	0.863919321644899	6877	1024	0.0130455228867511	13283000	34
20220530 041405	binary	custom	TRUE	TRUE	FALSE	-100	999007	-1	0	0	0	31	146	TRUE	999007	0.0340343764252487	0.480271580560318	5575	17	0.0181497254471217	13483000	35
20220530 041429	binary	custom	TRUE	TRUE	FALSE	-100	999007	-1	0	0	0	31	118	TRUE	999007	0.0484645111848624	0.582221774127585	7906	456	0.0159806275673226	13555000	36
20220530 041458	binary	custom	TRUE	TRUE	FALSE	-100	999007	-1	0	0	0	31	178	TRUE	999007	0.044572264095862	0.200294965756313	2680	234	0.0218258271681225	12879000	37
20220530 041505	binary	custom	TRUE	TRUE	FALSE	-100	999007	-1	0	0	0	31	21	TRUE	999007	0.299858411194271	0.690545714098527	7036	842	0.0107956585431435	12344000	38
20220530 041525	binary	custom	TRUE	TRUE	FALSE	-100	999007	-1	0	0	0	31	44	TRUE	999007	0.0740637978344024	0.68935820986101	3308	1024	0.015733410001244	13681000	39
20220530 041549	binary	custom	TRUE	TRUE	FALSE	-100	999007	-1	0	0	0	31	54	TRUE	999007	0.0479788353388147	0.495436971608293	2253	934	0.0166574750370188	13754000	40
20220530 041625	binary	custom	TRUE	TRUE	FALSE	-100	999007	-1	0	0	0	31	155	TRUE	999007	0.0323866766095382	0.413237813665895	2514	710	0.0156706231499093	13962000	41
20220530 041645	binary	custom	TRUE	TRUE	FALSE	-100	999007	-1	0	0	0	31	70	TRUE	999007	0.0520043963773181	0.580707491528521	5183	426	0.0161976812700724	13508000	42
20220530 041704	binary	custom	TRUE	TRUE	FALSE	-100	999007	-1	0	0	0	31	90	TRUE	999007	0.0714764145912453	0.393802482239757	7603	1018	0.0161156337496081	13541000	43
20220530 041718	binary	custom	TRUE	TRUE	FALSE	-100	999007	-1	0	0	0	31	80	TRUE	999007	0.157595346196957	0.284188359668347	7981	647	0.0135326363428122	13292000	44
20220530 041731	binary	custom	TRUE	TRUE	FALSE	-100	999007	-1	0	0	0	31	53	TRUE	999007	0.162427123119213	0.317751370669079	7999	16	0.0161737589976369	13896000	45
20220530 041742	binary	custom	TRUE	TRUE	FALSE	-100	999007	-1	0	0	0	31	30	TRUE	999007	0.212661109718387	0.429285881361367	7999	292	0.0176442544844333	12761000	46
20220530 041758	binary	custom	TRUE	TRUE	FALSE	-100	999007	-1	0	0	0	31	82	TRUE	999007	0.0816292091415486	0.200026707571975	7261	18	0.0160132182991539	13443000	47
20220530 041807	binary	custom	TRUE	TRUE	FALSE	-100	999007	-1	0	0	0	31	37	TRUE	999007	0.137322601649238	0.985914746655249	7996	25	0.0159071338788494	13614000	48
20220530 041827	binary	custom	TRUE	TRUE	FALSE	-100	999007	-1	0	0	0	31	67	TRUE	999007	0.0577737615892168	0.534070804481391	2006	17	0.0159928453374722	13825000	49
20220530 041931	binary	custom	TRUE	TRUE	FALSE	-100	999007	-1	0	0	0	31	293	TRUE	999007	0.0101568268647192	0.974933949387435	2824	32	0.0184834610821478	13183000	50
20220530 041942	binary	custom	TRUE	TRUE	FALSE	-100	999007	-1	0	0	0	31	22	TRUE	999007	0.168049962751633	0.555700709801884	7994	17	0.0141308091099961	13276000	51
20220530 042000	binary	custom	TRUE	TRUE	FALSE	-100	999007	-1	0	0	0	31	82	TRUE	999007	0.0858286742091703	0.41918558696404	7791	16	0.0224889263094404	12361000	52
20220530 042024	binary	custom	TRUE	TRUE	FALSE	-100	999007	-1	0	0	0	31	81	TRUE	999007	0.0551711860498563	0.370415133674073	1891	1024	0.0157311322120306	13920000	53
20220530 042037	binary	custom	TRUE	TRUE	FALSE	-100	999007	-1	0	0	0	31	36	TRUE	999007	0.142584772406691	0.405165857609594	2818	18	0.016035844678398	13722000	54
20220530 042048	binary	custom	TRUE	TRUE	FALSE	-100	999007	-1	0	0	0	31	26	TRUE	999007	0.202387550907474	0.447556464961921	4319	17	0.0101054034812464	12515000	55
20220530 042104	binary	custom	TRUE	TRUE	FALSE	-100	999007	-1	0	0	0	31	80	TRUE	999007	0.0869544647792181	0.256149181936281	3966	19	0.0193487904032402	12938000	56
