Feature	Gain	Cover	Frequency
ctrx_quarter_normalizado	0.0923159131637646	0.0113974827825669	0.00428056954643905
ctrx_quarter	0.0345292943162627	0.00991996693706803	0.00517769490048317
mv_status07_ratioavg3	0.0321242146923364	0.00161873615289487	0.000692068130262601
mdescubierto_preacordado_delta3	0.0293691952756481	0.000776768960138185	0.0002306893767542
mcuentas_saldo	0.0282937013135407	0.00813757046475195	0.00656183116100837
ctrx_quarter_min3	0.0265850302211051	0.00447043175680443	0.0044087303113025
mtarjeta_visa_consumo	0.0216247175344029	0.00654628707596405	0.00506235021210607
ctarjeta_visa_trx	0.0207906158081376	0.005421763870882	0.0047547643764338
mcaja_ahorro	0.0202235331413306	0.00571274733759954	0.0056775218834506
mdescubierto_preacordado_min3_delta3	0.0192862179201249	0.000621843306697445	0.000269137606213234
mcaja_ahorro_max3	0.0135612295192185	0.00343659779037923	0.00311430658618171
mpayroll_sobre_edad	0.0117022522897104	0.00794854587051216	0.00279390467402309
mprestamos_personales_ratiomax3_delta3	0.0111448808417986	0.000795449794477834	0.000576723441885501
mcuentas_saldo_avg3	0.0105153428282551	0.00172992768666114	0.00266574390915965
mv_msaldototal	0.00986321668015775	0.00234867998799834	0.00352442103374473
cpayroll_trx	0.00922467178805526	0.00498164815338142	0.00157637740782037
ctarjeta_visa_trx_ratioavg3	0.00815365561373871	0.00387329914901439	0.00331936380996322
mcaja_ahorro_avg3	0.00808255543425677	0.00342853146844664	0.0042933856229254
mpasivos_margen	0.00786024722700354	0.00302427347379508	0.00339626026888128
mpasivos_margen_avg3	0.00775903066921075	0.00180562778171357	0.00319120304509977
mpasivos_margen_max3	0.00703184852239529	0.00167508809989488	0.00212746869673318
cpayroll_trx_ratioavg3	0.00689478988088205	0.00466940458007363	0.00188396324349264
cpayroll_trx_min3	0.00633963504008508	0.0013974613825065	0.00071770028323529
mv_status01_max3	0.0056970824752793	0.00065850520610769	0.000576723441885501
ctarjeta_visa_trx_min3	0.00529546568364266	0.00419897365577998	0.00511361451805144
mtarjeta_visa_consumo_min3	0.00527547351026233	0.00314458381681909	0.00343470849834032
mcaja_ahorro_ratiomax3	0.00518107343476517	0.00179209278440864	0.00242223845591911
mpayroll	0.0051127235625465	0.00524956602293328	0.00165327386673844
mprestamos_personales_ratioavg3	0.00504681013487433	0.00508218155722054	0.00125597549566176
mdescubierto_preacordado_avg3_delta3	0.00474331812624271	0.00124995482882042	0.000512643059453779
mdescubierto_preacordado_ratioavg3_delta3	0.0046553938068283	0.000859075907425611	0.000563907365399157
mprestamos_personales	0.00459282771990445	0.0029933550057892	0.000948389659989491
cpayroll_trx_ratiomax3	0.00425390003078557	0.00385360223252382	0.00158919348430671
cpayroll_trx_avg3	0.00403535453983483	0.000851817368227168	0.000525459135940123
mprestamos_personales_ratiomax3	0.00392521705040032	0.00372144166183873	0.00128160764863445
mpayroll_ratiomax3	0.00388355820203534	0.00347882058015506	0.0013841362605252
mprestamos_personales_delta3	0.0038160234148853	0.00429420134891824	0.00097402181296218
mpayroll_sobre_edad_min3	0.00373091003159283	0.00504786452882108	0.00275545644456406
cproductos_avg3_delta3	0.00371023451612653	0.00430057500197106	0.00121752726620272
mcuentas_saldo_min3_delta3	0.00370669346725375	0.00193276443835315	0.00269137606213234
mcaja_ahorro_ratioavg3	0.00348720423476143	0.00331517502887057	0.00367821395158086
foto_mes	0.00329292466636499	0.00395755755101924	0.0030245940507773
ctarjeta_visa_avg3_delta3	0.00312080105047084	0.000648988344048551	0.000140976841349789
ctarjeta_visa_trx_ratiomax3	0.0031180433301329	0.0041330746235573	0.00312712266266805
mdescubierto_preacordado	0.00303800533019262	0.000588165257794952	0.000294769759185923
mv_status01	0.00299864179542113	0.000798411836225544	0.000448562677022056
cprestamos_personales_avg3_delta3	0.00299353531035813	0.00166080679651797	0.000346034065131301
mv_status06_avg3_delta3	0.00292634124948915	0.00127407789326433	0.000358850141617645
mtarjeta_visa_consumo_ratiomax3	0.00282275670402008	0.00360189771642153	0.00331936380996322
mprestamos_personales_ratioavg3_delta3	0.00280505890901866	0.00113516004141671	0.000794596742153357
cproductos_min3_delta3	0.00269445977562435	0.000556515423576337	0.000410114447563023
cproductos_ratiomax3	0.00259602903980504	0.00131072485281533	0.000730516359721635
cprestamos_personales_ratioavg3_lag3	0.0025896895200044	0.00085854545656129	0.000333217988644956
mprestamos_personales_avg3_delta3	0.00255546529648569	0.00377466087490613	0.000897125354044113
mcuentas_saldo_ratiomax3	0.0025447519332014	0.00342600766257	0.0039473515577941
mes	0.00249039453917695	0.00158499559699509	0.0016148256372794
mcuentas_saldo_min3	0.00248452269038318	0.00429743642947277	0.00413959270508926
