,experimento,fecha,lambda_l1,lambda_l2,min_gain_to_split,bagging_fraction,pos_bagging_fraction,neg_bagging_fraction,max_depth,max_bin,seed,extra_trees,drop_rate,max_drop,skip_drop,metric,first_metric_only,objective,boost_from_average,force_row_wise,feature_pre_filter,boosting,num_threads,verbosity,verbose,learning_rate,feature_fraction,num_leaves,min_data_in_leaf,num_iterations,prob_corte,estimulos,ganancia,iteracion_bayesiana
HT8310_2019_02,20220617,50130,0,0,0,1,1,1,-1,31,999983,FALSE,0.1,50,0.5,custom,TRUE,binary,TRUE,TRUE,FALSE,gbdt,0,-100,-100,0.144812719912427,0.164488068650709,1062,5726,235,0.052508527501049,10958,11362000,48
HT8310_2019_02,20220617,50225,0,0,0,1,1,1,-1,31,999983,FALSE,0.1,50,0.5,custom,TRUE,binary,TRUE,TRUE,FALSE,gbdt,0,-100,-100,0.165808749913415,0.957099772378663,1350,2729,69,0.041545314423426,13362,11358000,102
HT8310_2019_02,20220617,50306,0,0,0,1,1,1,-1,31,999983,FALSE,0.1,50,0.5,custom,TRUE,binary,TRUE,TRUE,FALSE,gbdt,0,-100,-100,0.101831751971706,0.858515521227312,364,6849,135,0.053473291266527,11804,11356000,86
HT8310_2019_02,20220617,50425,0,0,0,1,1,1,-1,31,999983,FALSE,0.1,50,0.5,custom,TRUE,binary,TRUE,TRUE,FALSE,gbdt,0,-100,-100,0.074553548186715,0.74887366734657,201,7536,333,0.055332713898324,11458,11342000,105
HT8310_2019_02,20220617,50535,0,0,0,1,1,1,-1,31,999983,FALSE,0.1,50,0.5,custom,TRUE,binary,TRUE,TRUE,FALSE,gbdt,0,-100,-100,0.081295649479289,0.91059077604441,313,8200,169,0.049569287884981,12338,11302000,9
HT8310_2019_02,20220617,50635,0,0,0,1,1,1,-1,31,999983,FALSE,0.1,50,0.5,custom,TRUE,binary,TRUE,TRUE,FALSE,gbdt,0,-100,-100,0.124225503577115,0.563124464816041,544,4756,103,0.050234468597816,11162,11278000,47
HT8310_2019_02,20220617,50810,0,0,0,1,1,1,-1,31,999983,FALSE,0.1,50,0.5,custom,TRUE,binary,TRUE,TRUE,FALSE,gbdt,0,-100,-100,0.032424360579078,0.513292195390165,1455,5737,314,0.05022974973511,11772,11268000,49
HT8310_2019_02,20220617,50856,0,0,0,1,1,1,-1,31,999983,FALSE,0.1,50,0.5,custom,TRUE,binary,TRUE,TRUE,FALSE,gbdt,0,-100,-100,0.250931328122965,0.642167845299724,778,8830,76,0.055304466620328,10696,11264000,77
HT8310_2019_02,20220617,51006,0,0,0,1,1,1,-1,31,999983,FALSE,0.1,50,0.5,custom,TRUE,binary,TRUE,TRUE,FALSE,gbdt,0,-100,-100,0.016753462842607,0.262558941300085,959,5554,1157,0.043030924943868,13340,11260000,13
HT8310_2019_02,20220617,51202,0,0,0,1,1,1,-1,31,999983,FALSE,0.1,50,0.5,custom,TRUE,binary,TRUE,TRUE,FALSE,gbdt,0,-100,-100,0.042600735133207,0.914142998647527,47,3951,137,0.049283380364561,11300,11260000,37
HT8310_2019_02,20220617,51325,0,0,0,1,1,1,-1,31,999983,FALSE,0.1,50,0.5,custom,TRUE,binary,TRUE,TRUE,FALSE,gbdt,0,-100,-100,0.284822707121426,0.33169325672877,126,4983,77,0.04863273387525,11544,11256000,74
HT8310_2019_02,20220617,51426,0,0,0,1,1,1,-1,31,999983,FALSE,0.1,50,0.5,custom,TRUE,binary,TRUE,TRUE,FALSE,gbdt,0,-100,-100,0.078868988575826,0.639422746171732,180,5553,170,0.053485625340085,11250,11190000,41
HT8310_2019_02,20220617,51521,0,0,0,1,1,1,-1,31,999983,FALSE,0.1,50,0.5,custom,TRUE,binary,TRUE,TRUE,FALSE,gbdt,0,-100,-100,0.083949611692951,0.645992967694474,736,1279,68,0.047724527375594,11496,11184000,12
HT8310_2019_02,20220617,51612,0,0,0,1,1,1,-1,31,999983,FALSE,0.1,50,0.5,custom,TRUE,binary,TRUE,TRUE,FALSE,gbdt,0,-100,-100,0.102646241316543,0.878669640308362,1056,2920,80,0.053847780806227,10674,11166000,8
HT8310_2019_02,20220617,51715,0,0,0,1,1,1,-1,31,999983,FALSE,0.1,50,0.5,custom,TRUE,binary,TRUE,TRUE,FALSE,gbdt,0,-100,-100,0.08931542226759,0.885492029009969,971,1365,45,0.059075700456166,9968,11152000,66
HT8310_2019_02,20220617,51815,0,0,0,1,1,1,-1,31,999983,FALSE,0.1,50,0.5,custom,TRUE,binary,TRUE,TRUE,FALSE,gbdt,0,-100,-100,0.015713098757521,0.67403223798289,1252,6420,1320,0.046363368196258,12734,11146000,95
HT8310_2019_02,20220617,51915,0,0,0,1,1,1,-1,31,999983,FALSE,0.1,50,0.5,custom,TRUE,binary,TRUE,TRUE,FALSE,gbdt,0,-100,-100,0.047697142179012,0.165217367060971,1321,5664,225,0.047109685523084,12266,11134000,69
HT8310_2019_02,20220617,52014,0,0,0,1,1,1,-1,31,999983,FALSE,0.1,50,0.5,custom,TRUE,binary,TRUE,TRUE,FALSE,gbdt,0,-100,-100,0.29033568537557,0.651666032952629,25,4617,47,0.052177680906399,12152,11128000,100
HT8310_2019_02,20220617,52112,0,0,0,1,1,1,-1,31,999983,FALSE,0.1,50,0.5,custom,TRUE,binary,TRUE,TRUE,FALSE,gbdt,0,-100,-100,0.145711026659035,0.803841766718193,1411,2584,44,0.046889150324687,11674,11126000,36
HT8310_2019_02,20220617,52258,0,0,0,1,1,1,-1,31,999983,FALSE,0.1,50,0.5,custom,TRUE,binary,TRUE,TRUE,FALSE,gbdt,0,-100,-100,0.295541620060643,0.860044062109757,319,6757,43,0.051182814088498,12160,11120000,108
HT8310_2019_02,20220617,52355,0,0,0,1,1,1,-1,31,999983,FALSE,0.1,50,0.5,custom,TRUE,binary,TRUE,TRUE,FALSE,gbdt,0,-100,-100,0.217357467458551,0.216171464156941,935,6727,112,0.0491382840313,12768,11112000,43
HT8310_2019_02,20220617,52509,0,0,0,1,1,1,-1,31,999983,FALSE,0.1,50,0.5,custom,TRUE,binary,TRUE,TRUE,FALSE,gbdt,0,-100,-100,0.043240773027055,0.990747633903171,1157,4405,141,0.051835530889464,10850,11110000,22
