max_depth (6, 8, 10, 12, 14)
min_split (1000,1200,1500,1800)
min_bucket (100, 200, 400, 700, 900)
peso_error (1000,2000,5000,10000,15000,20000)



max_depth	min_split	min_bucket	peso_error	ganancia_promedio
10	1500	400	5000	10889333
10	1500	400	10000	2762667
10	1500	400	15000	0
10	1500	400	20000	0
10	1500	700	1000	9735333
10	1500	700	2000	9918667
10	1500	700	5000	11217333
10	1500	700	10000	3634667
10	1500	700	15000	2616667
10	1500	700	20000	2616667
10	1800	100	1000	10631333
10	1800	100	2000	6608000
10	1800	100	5000	2080667
10	1800	100	10000	1708667
10	1800	100	15000	0
10	1800	100	20000	0
10	1800	200	1000	11441333
10	1800	200	2000	7743333
10	1800	200	5000	2080667
10	1800	200	10000	1708667
10	1800	200	15000	0
10	1800	200	20000	0
10	1800	400	1000	10708000
10	1800	400	2000	11141333
10	1800	400	5000	10889333
10	1800	400	10000	2762667
10	1800	400	15000	0
10	1800	400	20000	0
10	1800	700	1000	10026667
10	1800	700	2000	10236667
10	1800	700	5000	11199333
10	1800	700	10000	3634667
10	1800	700	15000	2616667
10	1800	700	20000	2616667
10	1800	900	1000	9786000
10	1800	900	2000	9994000
10	1800	900	5000	10778667
10	1800	900	10000	8502000
10	1800	900	15000	8502000
10	1800	900	20000	8502000
12	1000	100	1000	10546667
12	1000	100	2000	7668667
12	1000	100	5000	2596667
12	1000	100	10000	2299333
12	1000	100	15000	0
12	1000	100	20000	0
12	1000	200	1000	10493333
12	1000	200	2000	9664667
12	1000	200	5000	4608000
12	1000	200	10000	2299333
12	1000	200	15000	0
12	1000	200	20000	0
12	1000	400	1000	10171333
12	1000	400	2000	10886667
12	1000	400	5000	11004667
12	1000	400	10000	6432667
12	1000	400	15000	0
12	1000	400	20000	0
12	1200	100	1000	10383333
12	1200	100	2000	7664667
12	1200	100	5000	2596667
12	1200	100	10000	2299333
12	1200	100	15000	0
12	1200	100	20000	0
12	1200	200	1000	10408000
12	1200	200	2000	9614667
12	1200	200	5000	4608000
12	1200	200	10000	2299333
12	1200	200	15000	0
12	1200	200	20000	0
12	1200	400	1000	10056667
12	1200	400	2000	10978000
12	1200	400	5000	11152667
12	1200	400	10000	6432667
12	1200	400	15000	0
12	1200	400	20000	0
12	1500	100	1000	10431333
12	1500	100	2000	7664667
12	1500	100	5000	2596667
12	1500	100	10000	2299333
12	1500	100	15000	0
12	1500	100	20000	0
12	1500	200	1000	10378000
12	1500	200	2000	9968000
12	1500	200	5000	4608000
12	1500	200	10000	2299333
12	1500	200	15000	0
12	1500	200	20000	0
12	1500	400	1000	10341333
12	1500	400	2000	11103333
12	1500	400	5000	11152667
12	1500	400	10000	6432667
12	1500	400	15000	0
12	1500	400	20000	0
12	1500	700	1000	9328000
12	1500	700	2000	10160000
12	1500	700	5000	10446667
12	1500	700	10000	8281333
12	1500	700	15000	5956667
12	1500	700	20000	5956667
12	1800	100	1000	10440667
12	1800	100	2000	7664667
12	1800	100	5000	2596667
12	1800	100	10000	2299333
12	1800	100	15000	0
12	1800	100	20000	0
12	1800	200	1000	10280667
12	1800	200	2000	9968000
12	1800	200	5000	4608000
12	1800	200	10000	2299333
12	1800	200	15000	0
12	1800	200	20000	0
12	1800	400	1000	10515333
12	1800	400	2000	11215333
12	1800	400	5000	11152667
12	1800	400	10000	6432667
12	1800	400	15000	0
12	1800	400	20000	0
12	1800	700	1000	9714000
12	1800	700	2000	10348000
12	1800	700	5000	10793333
12	1800	700	10000	8281333
12	1800	700	15000	5956667
12	1800	700	20000	5956667
12	1800	900	1000	9617333
12	1800	900	2000	9994000
12	1800	900	5000	10332000
12	1800	900	10000	11244000
12	1800	900	15000	11244000
12	1800	900	20000	11244000
14	1000	100	1000	10557333
14	1000	100	2000	7591333
14	1000	100	5000	2840667
14	1000	100	10000	2782667
14	1000	100	15000	0
14	1000	100	20000	0
14	1000	200	1000	10294667
14	1000	200	2000	10251333
14	1000	200	5000	9358667
14	1000	200	10000	3838667
14	1000	200	15000	-110666.7
14	1000	200	20000	-110666.7
14	1000	400	1000	10008667
14	1000	400	2000	10656000
14	1000	400	5000	11456000
14	1000	400	10000	9446000
14	1000	400	15000	0
14	1000	400	20000	0
14	1200	100	1000	10320667
14	1200	100	2000	7554000
14	1200	100	5000	2840667
14	1200	100	10000	2782667
14	1200	100	15000	0
14	1200	100	20000	0
14	1200	200	1000	10330667
14	1200	200	2000	10232667
14	1200	200	5000	9358667
14	1200	200	10000	3838667
14	1200	200	15000	-110666.7
14	1200	200	20000	-110666.7
14	1200	400	1000	9834000
14	1200	400	2000	10747333
14	1200	400	5000	11624667
14	1200	400	10000	9446000
14	1200	400	15000	0
14	1200	400	20000	0
14	1500	100	1000	10304667
14	1500	100	2000	7803333
14	1500	100	5000	2866667
14	1500	100	10000	2782667
14	1500	100	15000	0
14	1500	100	20000	0
14	1500	200	1000	10367333
14	1500	200	2000	10586000
14	1500	200	5000	9358667
14	1500	200	10000	3949333
14	1500	200	15000	0
14	1500	200	20000	0
14	1500	400	1000	10227333
14	1500	400	2000	11012000
14	1500	400	5000	11522667
14	1500	400	10000	9446000
14	1500	400	15000	0
14	1500	400	20000	0
14	1500	700	1000	9261333
14	1500	700	2000	10160000
14	1500	700	5000	10395333
14	1500	700	10000	11418000
14	1500	700	15000	11276667
14	1500	700	20000	11276667
14	1800	100	1000	10176667
14	1800	100	2000	7803333
14	1800	100	5000	2866667
14	1800	100	10000	2782667
14	1800	100	15000	0
14	1800	100	20000	0
14	1800	200	1000	10270000
14	1800	200	2000	10586000
14	1800	200	5000	9358667
14	1800	200	10000	3949333
14	1800	200	15000	0
14	1800	200	20000	0
14	1800	400	1000	10401333
14	1800	400	2000	11174667
14	1800	400	5000	11449333
14	1800	400	10000	9446000
14	1800	400	15000	0
14	1800	400	20000	0
14	1800	700	1000	9714000
14	1800	700	2000	10348000
14	1800	700	5000	10898667
14	1800	700	10000	11418000
14	1800	700	15000	11276667
14	1800	700	20000	11276667
14	1800	900	1000	9617333
14	1800	900	2000	9945333
14	1800	900	5000	10332000
14	1800	900	10000	11295333
14	1800	900	15000	11295333
14	1800	900	20000	11295333
