max_depth	min_split	min_bucket	peso_error	ganancia_promedio
6	400	50	40	9080000
6	400	50	60	9630000
6	400	50	1000	9025333
6	400	50	60000	0
6	400	200	-1	NA
6	400	200	1	9889333
6	400	200	10	9754667
6	400	200	20	9432667
6	400	200	40	9484667
6	400	200	60	9844667
6	400	200	1000	9747333
6	400	200	60000	0
6	400	500	-1	NA
6	400	500	1	9509333
6	400	500	10	9831333
6	400	500	20	9056667
6	400	500	40	9242667
6	400	500	60	9180667
6	400	500	1000	11167333
6	400	500	60000	0
6	1000	20	-1	NA
6	1000	20	1	9755333
6	1000	20	10	9464667
6	1000	20	20	9170667
6	1000	20	40	9241333
6	1000	20	60	9674667
6	1000	20	1000	9127333
6	1000	20	60000	0
6	1000	30	-1	NA
6	1000	30	1	9485333
6	1000	30	10	9348667
6	1000	30	20	9233333
6	1000	30	40	9214667
6	1000	30	60	9657333
6	1000	30	1000	9127333
6	1000	30	60000	0
6	1000	50	-1	NA
6	1000	50	1	9556000
6	1000	50	10	9268000
6	1000	50	20	9182667
6	1000	50	40	9113333
6	1000	50	60	9568667
6	1000	50	1000	9130000
6	1000	50	60000	0
6	1000	200	-1	NA
6	1000	200	1	10032000
6	1000	200	10	9748000
6	1000	200	20	8954667
6	1000	200	40	9366000
6	1000	200	60	9939333
6	1000	200	1000	9747333
6	1000	200	60000	0
6	1000	500	-1	NA
6	1000	500	1	9509333
6	1000	500	10	9831333
6	1000	500	20	9056667
6	1000	500	40	9242667
6	1000	500	60	9180667
6	1000	500	1000	11167333
6	1000	500	60000	0
8	60	20	-1	NA
8	60	20	1	8058000
8	60	20	10	8110667
8	60	20	20	8535333
8	60	20	40	8652000
8	60	20	60	8637333
8	60	20	1000	9807333
8	60	20	60000	0
8	60	30	-1	NA
8	60	30	1	7986667
8	60	30	10	8195333
8	60	30	20	7942000
8	60	30	40	8486000
8	60	30	60	8428000
8	60	30	1000	9782667
8	60	30	60000	0
8	60	50	-1	NA
8	60	50	1	8116000
8	60	50	10	7456667
8	60	50	20	7980667
8	60	50	40	8190000
8	60	50	60	8166000
8	60	50	1000	9635333
8	60	50	60000	0
8	60	200	-1	NA
8	60	200	1	8709333
8	60	200	10	7936667
8	60	200	20	8666000
