max_depth	min_split	min_bucket	peso_error	ganancia_promedio
5	1850	200	100	9705333
5	1850	200	150	10003333
5	1850	200	200	10016667
5	1850	200	250	9301333
5	1850	200	300	9275333
5	1850	200	600	10288667
5	1850	200	900	9758667
5	1850	300	100	9720000
5	1850	300	150	10241333
5	1850	300	200	10423333
5	1850	300	250	9738000
5	1850	300	300	9710667
5	1850	300	600	10212000
5	1850	300	900	9758667
5	1850	400	100	9602000
5	1850	400	150	10100000
5	1850	400	200	10085333
5	1850	400	250	10020000
5	1850	400	300	9663333
5	1850	400	600	10356000
5	1850	400	900	9694667
5	1850	500	100	9692000
5	1850	500	150	9942667
5	1850	500	200	10156667
5	1850	500	250	10270667
5	1850	500	300	9795333
5	1850	500	600	10870667
5	1850	500	900	10432000
5	1850	600	100	9318667
5	1850	600	150	9792667
5	1850	600	200	10048000
5	1850	600	250	10202667
5	1850	600	300	9727333
5	1850	600	600	10870667
5	1850	600	900	10432000
5	1900	200	100	9705333
5	1900	200	150	10003333
5	1900	200	200	10016667
5	1900	200	250	9301333
5	1900	200	300	9275333
5	1900	200	600	10288667
5	1900	200	900	9758667
5	1900	300	100	9720000
5	1900	300	150	10241333
5	1900	300	200	10423333
5	1900	300	250	9738000
5	1900	300	300	9710667
5	1900	300	600	10212000
5	1900	300	900	9758667
5	1900	400	100	9602000
5	1900	400	150	10100000
5	1900	400	200	10085333
5	1900	400	250	10020000
5	1900	400	300	9663333
5	1900	400	600	10356000
5	1900	400	900	9694667
5	1900	500	100	9692000
5	1900	500	150	9942667
5	1900	500	200	10156667
5	1900	500	250	10270667
5	1900	500	300	9795333
5	1900	500	600	10870667
5	1900	500	900	10432000
5	1900	600	100	9318667
5	1900	600	150	9792667
5	1900	600	200	10048000
5	1900	600	250	10202667
5	1900	600	300	9727333
5	1900	600	600	10870667
5	1900	600	900	10432000
5	2000	200	100	9817333
5	2000	200	150	10003333
5	2000	200	200	10016667
5	2000	200	250	9301333
5	2000	200	300	9275333
5	2000	200	600	10288667
5	2000	200	900	9758667
5	2000	300	100	9832000
5	2000	300	150	10241333
5	2000	300	200	10423333
5	2000	300	250	9738000
5	2000	300	300	9710667
5	2000	300	600	10212000
5	2000	300	900	9758667
5	2000	400	100	9744667
5	2000	400	150	10118000
5	2000	400	200	10168667
5	2000	400	250	10020000
5	2000	400	300	9663333
5	2000	400	600	10356000
5	2000	400	900	9694667
5	2000	500	100	9710000
5	2000	500	150	9960667
5	2000	500	200	10240000
5	2000	500	250	10270667
5	2000	500	300	9795333
5	2000	500	600	10870667
5	2000	500	900	10432000
5	2000	600	100	9336667
5	2000	600	150	9810667
5	2000	600	200	10131333
5	2000	600	250	10202667
5	2000	600	300	9727333
5	2000	600	600	10870667
5	2000	600	900	10432000
5	2100	200	100	9817333
5	2100	200	150	10003333
5	2100	200	200	10016667
5	2100	200	250	9301333
5	2100	200	300	9448667
5	2100	200	600	10288667
5	2100	200	900	9758667
5	2100	300	100	9832000
5	2100	300	150	10241333
5	2100	300	200	10423333
5	2100	300	250	9738000
5	2100	300	300	9884000
5	2100	300	600	10212000
5	2100	300	900	9758667
5	2100	400	100	9744667
5	2100	400	150	10118000
5	2100	400	200	10168667
5	2100	400	250	10020000
5	2100	400	300	9793333
5	2100	400	600	10356000
5	2100	400	900	9694667
5	2100	500	100	9710000
5	2100	500	150	9960667
5	2100	500	200	10240000
5	2100	500	250	10270667
5	2100	500	300	9925333
5	2100	500	600	10870667
5	2100	500	900	10432000
5	2100	600	100	9336667
5	2100	600	150	9810667
5	2100	600	200	10131333
5	2100	600	250	10202667
5	2100	600	300	9857333
5	2100	600	600	10870667
5	2100	600	900	10432000
5	2500	200	100	9990667
5	2500	200	150	9860667
5	2500	200	200	9698667
5	2500	200	250	9301333
5	2500	200	300	9448667
5	2500	200	600	10288667
5	2500	200	900	9758667
5	2500	300	100	10005333
5	2500	300	150	10098667
5	2500	300	200	10105333
5	2500	300	250	9738000
5	2500	300	300	9884000
5	2500	300	600	10212000
5	2500	300	900	9758667
5	2500	400	100	9918000
5	2500	400	150	9975333
5	2500	400	200	9850667
5	2500	400	250	10020000
5	2500	400	300	9793333
5	2500	400	600	10356000
5	2500	400	900	9694667
5	2500	500	100	9883333
5	2500	500	150	9818000
5	2500	500	200	9922000
5	2500	500	250	10270667
5	2500	500	300	9925333
5	2500	500	600	10870667
5	2500	500	900	10432000
5	2500	600	100	9510000
5	2500	600	150	9668000
5	2500	600	200	9806667
5	2500	600	250	10202667
5	2500	600	300	9857333
5	2500	600	600	10870667
5	2500	600	900	10432000
5	3000	200	100	9186000
5	3000	200	150	9557333
5	3000	200	200	9378000
5	3000	200	250	8980667
5	3000	200	300	9414000
5	3000	200	600	10288667
5	3000	200	900	9758667
5	3000	300	100	9196667
5	3000	300	150	9795333
5	3000	300	200	9644000
5	3000	300	250	9276667
5	3000	300	300	9708667
5	3000	300	600	10212000
5	3000	300	900	9758667
5	3000	400	100	9303333
5	3000	400	150	9514000
5	3000	400	200	9389333
5	3000	400	250	9558667
5	3000	400	300	9618000
5	3000	400	600	10356000
5	3000	400	900	9694667
5	3000	500	100	9247333
5	3000	500	150	9529333
5	3000	500	200	9633333
5	3000	500	250	9809333
5	3000	500	300	9750000
5	3000	500	600	10870667
5	3000	500	900	10432000
