max_depth	min_split	min_bucket	peso_error	ganancia_promedio
6	1300	300	600	11314667
6	1300	400	600	11245333
6	1300	500	600	11486667
6	1400	300	600	11314667
6	1400	400	600	11245333
6	1400	500	600	11486667
6	1500	300	600	11314667
6	1500	400	600	11245333
6	1500	500	600	11486667
7	1300	300	600	11467333
7	1300	400	600	11808000
7	1300	500	600	11603333
7	1400	300	600	11467333
7	1400	400	600	11808000
7	1400	500	600	11603333
7	1500	300	600	11467333
7	1500	400	600	11808000
7	1500	500	600	11603333
