max_depth	min_split	min_bucket	peso_error	ganancia_promedio
6	1200	350	400	10590667
6	1200	350	500	10794667
6	1200	350	600	11314667
6	1200	350	700	11096667
6	1200	350	800	10969333
6	1200	400	400	10564000
6	1200	400	500	10767333
6	1200	400	600	11245333
6	1200	400	700	11054667
6	1200	400	800	11014000
6	1200	450	400	10830667
6	1200	450	500	11015333
6	1200	450	600	11486667
6	1200	450	700	11048000
6	1200	450	800	11308667
6	1300	350	400	10590667
6	1300	350	500	10794667
6	1300	350	600	11314667
6	1300	350	700	11096667
6	1300	350	800	11069333
6	1300	400	400	10564000
6	1300	400	500	10767333
6	1300	400	600	11245333
6	1300	400	700	11054667
6	1300	400	800	11129333
6	1300	450	400	10830667
6	1300	450	500	11015333
6	1300	450	600	11486667
6	1300	450	700	11048000
6	1300	450	800	11308667
6	1400	350	400	10757333
6	1400	350	500	10961333
6	1400	350	600	11314667
6	1400	350	700	11096667
6	1400	350	800	11069333
6	1400	400	400	10730667
6	1400	400	500	10934000
6	1400	400	600	11245333
6	1400	400	700	11054667
6	1400	400	800	11129333
6	1400	450	400	10997333
6	1400	450	500	11182000
6	1400	450	600	11486667
6	1400	450	700	11048000
6	1400	450	800	11308667
6	1600	350	400	10808000
6	1600	350	500	10961333
6	1600	350	600	11314667
6	1600	350	700	11096667
6	1600	350	800	11069333
6	1600	400	400	10714000
6	1600	400	500	10866667
6	1600	400	600	11178000
6	1600	400	700	11054667
6	1600	400	800	11129333
6	1600	450	400	10980667
6	1600	450	500	11114667
6	1600	450	600	11419333
6	1600	450	700	11048000
6	1600	450	800	11308667
6	1700	350	400	10713333
6	1700	350	500	10866667
6	1700	350	600	11220000
6	1700	350	700	11096667
6	1700	350	800	11069333
6	1700	400	400	10714000
6	1700	400	500	10866667
6	1700	400	600	11178000
6	1700	400	700	11054667
6	1700	400	800	11129333
6	1700	450	400	10980667
6	1700	450	500	11114667
6	1700	450	600	11419333
6	1700	450	700	11002000
6	1700	450	800	11308667
6	1800	350	400	10713333
6	1800	350	500	10866667
6	1800	350	600	11220000
6	1800	350	700	11096667
6	1800	350	800	11069333
6	1800	400	400	10714000
6	1800	400	500	10866667
6	1800	400	600	11178000
6	1800	400	700	11054667
6	1800	400	800	11129333
6	1800	450	400	10980667
6	1800	450	500	11114667
6	1800	450	600	11419333
6	1800	450	700	11002000
6	1800	450	800	11138000
6	1900	350	400	10713333
6	1900	350	500	10866667
6	1900	350	600	11220000
6	1900	350	700	11035333
6	1900	350	800	11069333
6	1900	400	400	10714000
6	1900	400	500	10866667
6	1900	400	600	11178000
6	1900	400	700	10993333
6	1900	400	800	11129333
6	1900	450	400	10980667
6	1900	450	500	11114667
6	1900	450	600	11419333
6	1900	450	700	11002000
6	1900	450	800	11138000
7	1200	350	400	11360667
7	1200	350	500	11237333
7	1200	350	600	11726000
7	1200	350	700	11527333
7	1200	350	800	11468000
7	1200	400	400	11237333
7	1200	400	500	11138000
7	1200	400	600	11808000
7	1200	400	700	11474000
7	1200	400	800	11515333
7	1200	450	400	10602000
7	1200	450	500	11008000
7	1200	450	600	11756667
7	1200	450	700	11611333
7	1200	450	800	11520667
7	1300	350	400	11336667
7	1300	350	500	11213333
7	1300	350	600	11802667
7	1300	350	700	11527333
7	1300	350	800	11568000
7	1300	400	400	11237333
7	1300	400	500	11138000
7	1300	400	600	11808000
7	1300	400	700	11474000
7	1300	400	800	11630667
7	1300	450	400	10602000
7	1300	450	500	11008000
7	1300	450	600	11756667
7	1300	450	700	11611333
7	1300	450	800	11520667
7	1400	350	400	11503333
7	1400	350	500	11380000
7	1400	350	600	11802667
7	1400	350	700	11505333
7	1400	350	800	11568000
7	1400	400	400	11404000
7	1400	400	500	11304667
7	1400	400	600	11808000
7	1400	400	700	11543333
7	1400	400	800	11630667
7	1400	450	400	10768667
7	1400	450	500	11174667
7	1400	450	600	11756667
7	1400	450	700	11611333
7	1400	450	800	11565333
7	1600	350	400	11554000
7	1600	350	500	11380000
7	1600	350	600	11802667
7	1600	350	700	11572667
7	1600	350	800	11403333
7	1600	400	400	11348000
7	1600	400	500	11198000
7	1600	400	600	11740667
7	1600	400	700	11624000
7	1600	400	800	11486667
7	1600	450	400	10712667
7	1600	450	500	11068000
7	1600	450	600	11689333
7	1600	450	700	11611333
7	1600	450	800	11565333
7	1700	350	400	11407333
7	1700	350	500	11233333
7	1700	350	600	11708000
7	1700	350	700	11572667
7	1700	350	800	11403333
7	1700	400	400	11348000
7	1700	400	500	11198000
7	1700	400	600	11740667
7	1700	400	700	11624000
7	1700	400	800	11486667
7	1700	450	400	10712667
7	1700	450	500	11068000
7	1700	450	600	11689333
7	1700	450	700	11565333
7	1700	450	800	11565333
7	1800	350	400	11407333
7	1800	350	500	11233333
7	1800	350	600	11708000
7	1800	350	700	11572667
7	1800	350	800	11403333
7	1800	400	400	11348000
7	1800	400	500	11198000
7	1800	400	600	11740667
7	1800	400	700	11624000
7	1800	400	800	11486667
7	1800	450	400	10712667
7	1800	450	500	11068000
7	1800	450	600	11689333
7	1800	450	700	11565333
7	1800	450	800	11394667
7	1900	350	400	11407333
7	1900	350	500	11233333
7	1900	350	600	11708000
7	1900	350	700	11511333
7	1900	350	800	11403333
7	1900	400	400	11348000
7	1900	400	500	11198000
7	1900	400	600	11740667
7	1900	400	700	11562667
7	1900	400	800	11486667
7	1900	450	400	10712667
7	1900	450	500	11068000
7	1900	450	600	11689333
7	1900	450	700	11565333
7	1900	450	800	11489333
8	1200	350	400	10215333
8	1200	350	500	10819333
8	1200	350	600	11132000
8	1200	350	700	11560000
8	1200	350	800	11396667
8	1200	400	400	10270667
8	1200	400	500	10695333
8	1200	400	600	11299333
8	1200	400	700	11332000
8	1200	400	800	11068000
8	1200	450	400	10168667
8	1200	450	500	10894000
8	1200	450	600	11420667
8	1200	450	700	11530000
8	1200	450	800	11199333
8	1300	350	400	10255333
8	1300	350	500	10824667
8	1300	350	600	11208667
8	1300	350	700	11560000
8	1300	350	800	11584000
8	1300	400	400	10362667
8	1300	400	500	10804667
8	1300	400	600	11299333
8	1300	400	700	11332000
8	1300	400	800	11405333
8	1300	450	400	10307333
8	1300	450	500	11003333
8	1300	450	600	11420667
8	1300	450	700	11530000
8	1300	450	800	11317333
8	1400	350	400	10422000
8	1400	350	500	10991333
8	1400	350	600	11208667
8	1400	350	700	11538000
8	1400	350	800	11584000
8	1400	400	400	10529333
8	1400	400	500	10971333
8	1400	400	600	11299333
8	1400	400	700	11401333
8	1400	400	800	11405333
8	1400	450	400	10474000
8	1400	450	500	11030000
8	1400	450	600	11420667
8	1400	450	700	11530000
8	1400	450	800	11362000
8	1600	350	400	10472667
8	1600	350	500	10874000
8	1600	350	600	11208667
8	1600	350	700	11605333
8	1600	350	800	11419333
8	1600	400	400	10358667
8	1600	400	500	10862000
8	1600	400	600	11117333
8	1600	400	700	11482000
8	1600	400	800	11261333
8	1600	450	400	10310000
8	1600	450	500	10881333
8	1600	450	600	11311333
8	1600	450	700	11530000
8	1600	450	800	11362000
8	1700	350	400	10289333
8	1700	350	500	10690667
8	1700	350	600	11077333
8	1700	350	700	11605333
8	1700	350	800	11419333
8	1700	400	400	10358667
8	1700	400	500	10862000
8	1700	400	600	11117333
8	1700	400	700	11482000
8	1700	400	800	11261333
8	1700	450	400	10310000
8	1700	450	500	10881333
8	1700	450	600	11311333
8	1700	450	700	11484000
8	1700	450	800	11362000
8	1800	350	400	10474667
8	1800	350	500	10690667
8	1800	350	600	11089333
8	1800	350	700	11617333
8	1800	350	800	11431333
8	1800	400	400	10544000
8	1800	400	500	10862000
8	1800	400	600	11129333
8	1800	400	700	11494000
8	1800	400	800	11273333
8	1800	450	400	10495333
8	1800	450	500	11066667
8	1800	450	600	11508667
8	1800	450	700	11496000
8	1800	450	800	11203333
8	1900	350	400	10474667
8	1900	350	500	10828667
8	1900	350	600	11227333
8	1900	350	700	11556000
8	1900	350	800	11431333
8	1900	400	400	10544000
8	1900	400	500	10837333
8	1900	400	600	11129333
8	1900	400	700	11432667
8	1900	400	800	11273333
8	1900	450	400	10495333
8	1900	450	500	11042000
8	1900	450	600	11508667
8	1900	450	700	11496000
8	1900	450	800	11298000
