max_depth	min_split	min_bucket	peso_error	ganancia_promedio
7	1400	400	10	9418000
7	1400	400	20	8922667
7	1400	400	40	9578000
7	1400	400	60	9374000
7	1400	400	80	9176667
7	1400	400	100	9717333
7	1400	400	150	10131333
7	1400	400	200	10573333
7	1400	400	250	10486000
7	1400	400	300	10563333
7	1400	400	400	11404000
7	1400	400	600	11808000
7	1400	400	700	11543333
7	1400	400	900	11630667
7	1400	400	1000	11546000
