Feature	Gain	Cover	Frequency
ctrx_quarter	0.142575888060123	0.0304946122096923	0.0261229813188078
mpasivos_margen	0.0946892867036514	0.0239715312178188	0.0248187502397484
cpayroll_trx	0.0885473692376212	0.0271393254760034	0.00694311250911044
mpayroll	0.0489199402319527	0.0463406071595631	0.0168015650772949
mtarjeta_visa_consumo	0.0488355507234033	0.0190779248405829	0.0197169051363689
mcaja_ahorro	0.0485986322991813	0.0227043290880252	0.0311097472093291
mcuentas_saldo	0.0357240915684842	0.0312865258342091	0.0342168859565001
mactivos_margen	0.0328862730645308	0.0291790259830216	0.0296137174421727
mprestamos_personales	0.0301358218839934	0.0266384708521569	0.0104722083700947
ctarjeta_visa_trx	0.0257749739683069	0.0164355202374197	0.0185277532701676
Visa_msaldototal	0.0225567358632063	0.0153490393480677	0.0180290766811155
mrentabilidad_annual	0.0220884002041035	0.0162297263171893	0.0270052552840539
Visa_msaldopesos	0.0208702725969238	0.0198493022846231	0.0200621427749434
Visa_mpagominimo	0.0145270246784192	0.013643575161172	0.0164946871763397
cliente_edad	0.0141027382699129	0.0214909945005207	0.0288848824274042
mcuenta_corriente	0.0130158886435566	0.0119249093477018	0.0182592351068319
Master_fechaalta	0.0126353693344766	0.0277841287421254	0.0306877900955158
Visa_fechaalta	0.0124558039314428	0.0152114526433689	0.0261229813188078
chomebanking_trx	0.0107663710838554	0.0140536841114137	0.0194483869730331
Master_Fvencimiento	0.00973504636253941	0.018861134080932	0.023130921784495
mcomisiones_otras	0.00961510275932008	0.011855295974257	0.0180290766811155
mrentabilidad	0.00899957734452113	0.0132782935554387	0.0177221987801603
mcomisiones	0.0088612061235987	0.0097232325694216	0.0152671755725191
cproductos	0.00803669003582695	0.00997531418477211	0.0111243239096245
numero_de_cliente	0.00767736536371615	0.00990081633784589	0.0186811922206452
mautoservicio	0.00765558447169784	0.0176997018373348	0.0209827764778089
ccomisiones_otras	0.00742627476148488	0.0188924246598096	0.0179907169434961
cliente_antiguedad	0.00734778373575669	0.0107885626190064	0.0159192911120488
Visa_Fvencimiento	0.00722973915730605	0.0100019884014134	0.0178372779930185
mcaja_ahorro_dolares	0.00710208966586588	0.0211547231019579	0.0207909777897119
thomebanking	0.00674365570568811	0.00601849848082108	0.00594575933100618
Master_mfinanciacion_limite	0.00663173717344533	0.00902198475558536	0.0167248456020561
mcomisiones_mantenimiento	0.00641232480388059	0.00860811511729383	0.00966665388008746
Visa_mpagospesos	0.00633413216826066	0.0110654630641371	0.016226169013004
Visa_mfinanciacion_limite	0.00612224897604031	0.01198372696516	0.0167248456020561
Visa_mconsumospesos	0.00590753804342676	0.00852460702118348	0.0146150600329894
mtransferencias_recibidas	0.00561727748295398	0.00814163007327282	0.0151137366220415
Master_mlimitecompra	0.00532793233419346	0.0080692614289474	0.0126970731520196
cprestamos_personales	0.00488158824562894	0.00794038263522016	0.0036058153362231
Master_status	0.00481574352183647	0.0180079827071327	0.0036058153362231
mtransferencias_emitidas	0.00470736953363714	0.0103291340347769	0.0128888718401166
Visa_mlimitecompra	0.00460042854796692	0.00960353088134485	0.0119682381372511
ccomisiones_mantenimiento	0.00456457116881207	0.00586036846502745	0.00625263723196133
ctarjeta_debito_trx	0.00452031640991486	0.00845121014171058	0.0134642679044075
ccallcenter_trx	0.00418046685934004	0.00987894673176193	0.00406613218765584
Master_mpagominimo	0.0040651667919318	0.00869228636089873	0.00644443592005831
tcallcenter	0.00393441514815429	0.00555377327337702	0.00283862058383521
ccaja_ahorro	0.00386874842407754	0.0238684980628955	0.00732670988530439
ctransferencias_recibidas	0.00376005612715892	0.0125646969369672	0.00840078253864744
ctransferencias_emitidas	0.00354814069133613	0.00984659939526396	0.00767194752387894
mdescubierto_preacordado	0.00344948707429965	0.00743319031789883	0.00295369979669339
Visa_cconsumos	0.00340149551628949	0.00456109424059924	0.00978173309294564
mtarjeta_visa_debitos_automaticos	0.00324229243663916	0.00643345197308221	0.00947485519199049
mpagomiscuentas	0.00321360072929102	0.00891170546642591	0.0101269707315202
Visa_mconsumototal	0.003147747180483	0.00502125157401088	0.00893781886531896
Visa_mpagado	0.00310040497412772	0.0140713880103329	0.00847750201388623
mextraccion_autoservicio	0.00306236505812838	0.00657125117020397	0.0111626836472439
mcuenta_debitos_automaticos	0.00292320048135809	0.00831796883575571	0.0107407265334305
ctarjeta_visa_debitos_automaticos	0.00287234964756948	0.00906793160715451	0.00694311250911044
Master_mpagospesos	0.00280069161862593	0.014306396073415	0.00909125781579654
active_quarter	0.00259376827008624	0.000221596796331887	0.000460316851432736
ctarjeta_master	0.00258845447350266	0.000640775892950813	0.000958993440484867
ccuenta_debitos_automaticos	0.00249454217699128	0.00915433901263353	0.00686639303387165
Master_msaldopesos	0.00248600186808553	0.00462277266208766	0.00487168667766312
mplazo_fijo_dolares	0.00246911525255939	0.0179605897661884	0.00349073612336492
Master_msaldototal	0.00210756067176489	0.00387129962574965	0.00467988798956615
ccajas_consultas	0.00190749575469937	0.0121206576529824	0.00226322451954429
Visa_mconsumosdolares	0.00172053748157508	0.00284485141120062	0.00460316851432736
ctarjeta_debito	0.00170075614963864	0.0046291060771916	0.00510184510337949
Visa_status	0.0016633614988709	0.00858922040513169	0.00164946871763397
cextraccion_autoservicio	0.00152543012219766	0.00412175973851669	0.00728835014768499
ccaja_seguridad	0.00152219396202975	0.00991436166021859	0.00264682189573823
Visa_mpagosdolares	0.00129101574926485	0.00762988699540282	0.0050251256281407
cpagomiscuentas	0.00114839074875176	0.00282845384153949	0.00418121140051402
Master_mconsumospesos	0.00102086063973067	0.00392888792462648	0.00452644903908857
cmobile_app_trx	0.000987646367344132	0.00137409009692711	0.00249338294526065
ccajas_trx	0.000928388692293103	0.00315914909665342	0.00130423107905942
cseguro_accidentes_personales	0.000842953629148048	0.00361342652228	0.00222486478192489
Master_fultimo_cierre	0.00075294596918929	0.00177774441155517	0.00264682189573823
ccajas_extracciones	0.0006218334108157	0.000196313050243692	0.000498676589052131
matm	0.000586929506824057	0.00172731097500133	0.00345237638574552
Master_cconsumos	0.000582427379451172	0.00160574106495067	0.00276190110859642
Master_mconsumototal	0.000564365452952896	0.00159346499262131	0.00207142583144731
Visa_fultimo_cierre	0.000549898631533376	0.00110061377466616	0.00191798688096973
Visa_Finiciomora	0.000482627300483315	0.00463048799100284	0.000920633702865472
mtarjeta_master_consumo	0.000402600102892857	0.00100189321764303	0.00153438950477579
mtarjeta_visa_descuentos	0.000397843873213165	0.00525001178940764	0.00283862058383521
catm_trx	0.000363512926628634	0.00163105903800633	0.00253174268288005
Visa_delinquency	0.00033338499065429	0.00113147223807957	0.000460316851432736
Visa_madelantopesos	0.000332657674657763	0.000279370491282468	0.000153438950477579
cplazo_fijo	0.000321627876653248	0.00166435046835676	0.000498676589052131
Visa_msaldodolares	0.000216743400704701	0.00116832042079866	0.000997353178104262
Master_mpagosdolares	0.000188920684844647	0.000496570548419256	0.00138095055429821
Master_mconsumosdolares	0.000175854981714252	0.000352285340963623	0.000690475277149104
catm_trx_other	0.000142046352069119	0.00085302302267126	0.000537036326671526
Master_msaldodolares	0.000124859143581912	8.27123191168767e-05	0.000153438950477579
matm_other	0.000112620949485609	0.000889189518288419	0.000690475277149104
ctarjeta_master_trx	0.000108753351938363	0.000215915119733355	0.000498676589052131
ctarjeta_visa	0.000105492283289116	0.000362959876440533	0.000345237638574552
Master_madelantopesos	8.49564326855863e-05	0.000150882455433747	0.000383597376193947
internet	7.6988053953215e-05	0.000461947118585132	0.000230158425716368
mttarjeta_master_debitos_automaticos	6.0052693392713e-05	0.000123489472475766	0.000191798688096973
Master_mpagado	4.6093882417833e-05	0.000581640249920011	0.000421957113813342
ctarjeta_visa_descuentos	3.77600427806256e-05	0.00105394387840939	0.000690475277149104
Master_delinquency	2.40475447021174e-05	9.43794366501566e-05	0.000115079212858184
ctarjeta_master_debitos_automaticos	1.86459091114883e-05	4.46918627622449e-05	7.67194752387894e-05
Visa_madelantodolares	1.62688313576084e-05	3.15358721444101e-05	0.000115079212858184
cseguro_vida	8.12927361274079e-06	0.000157175939075644	0.000153438950477579
Visa_cadelantosefectivo	6.92370956095262e-06	9.52365369603267e-06	3.83597376193947e-05
mforex_sell	3.32887063750261e-06	0.000214303600015398	0.000191798688096973
cforex	1.78703629981913e-13	7.39516415704962e-05	0.000115079212858184
Master_cadelantosefectivo	1.06123172401892e-13	4.92668674128698e-05	0.000153438950477579
Master_madelantodolares	6.68596311511676e-14	3.24557218949253e-05	0.000115079212858184
cforex_sell	4.99520265086169e-14	2.22789035698446e-05	3.83597376193947e-05
