Feature	Gain	Cover	Frequency
ctrx_quarter	0.113323553817845	0.0241634296778148	0.0223434925864909
mpasivos_margen	0.0571021803101256	0.0201824523872965	0.0254324546952224
mcaja_ahorro	0.0454829362133789	0.0198867209185429	0.0325370675453048
mpayroll	0.0454532864106571	0.027031135790848	0.0102965403624382
mcuentas_saldo	0.0435232213545308	0.0293449190550402	0.0327429983525535
cpayroll_trx	0.0420394166938658	0.0188402733154214	0.00494233937397035
Visa_msaldopesos	0.0342638950313661	0.0171655732863963	0.0169892915980231
mactivos_margen	0.0296921004467385	0.0213231280310114	0.0278006589785832
mprestamos_personales	0.0271917334580976	0.0163352431475623	0.00545716639209226
mrentabilidad_annual	0.0261397605323526	0.0171304210133538	0.0239909390444811
Master_fechaalta	0.0220058627474713	0.0197247978012591	0.0292421746293245
Master_Fvencimiento	0.0209702918583729	0.0203223008040254	0.0308896210873147
ctarjeta_visa_trx	0.0207476549820163	0.0191095624968147	0.019666392092257
cliente_edad	0.0182183237611176	0.0223023843160129	0.0241968698517298
Visa_msaldototal	0.0182054197654814	0.0158146137026391	0.0220345963756178
chomebanking_trx	0.0175626894079253	0.013880321844701	0.0220345963756178
mcomisiones_otras	0.0172831256886887	0.0156349482085058	0.0242998352553542
Visa_fechaalta	0.016201025693703	0.0143742168222931	0.025329489291598
mtarjeta_visa_consumo	0.0154777626358802	0.0143896267969616	0.0194604612850082
Visa_cconsumos	0.0154124320523207	0.00841530203129712	0.012664744645799
Master_mfinanciacion_limite	0.0135275197494766	0.0127344625252967	0.0207990115321252
Visa_Fvencimiento	0.0133013742974419	0.0132021318317137	0.0216227347611203
mextraccion_autoservicio	0.0124734963263289	0.0115577882941409	0.0107084019769358
mrentabilidad	0.0121187516000203	0.0151641555989523	0.0160626029654036
numero_de_cliente	0.0120671099340449	0.0115493906387724	0.0194604612850082
cliente_antiguedad	0.0118763294579752	0.0125503337302296	0.0205930807248764
Visa_mpagospesos	0.0117491348572439	0.0107426918144759	0.0195634266886326
Visa_mpagominimo	0.0115847856306274	0.011898782470445	0.0176070840197694
