fecha	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	verbosity	seed	max_depth	min_gain_to_split	lambda_l1	lambda_l2	max_bin	num_iterations	force_row_wise	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	prob_corte	ganancia	iteracion
20220522 195823	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	612	TRUE	0.0102604709537962	0.412556150420813	5888	653	0.0164802695895798	13226000	73
20220522 200150	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	443	TRUE	0.0100679615613281	0.482928391352433	1673	1024	0.0158136592768666	13444000	74
20220522 200201	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	25	TRUE	0.100310942735697	0.993785120047321	714	40	0.0150314015408847	12952000	75
20220522 200418	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	379	TRUE	0.0193590981429952	0.515257715493122	2580	540	0.0160069353366739	13713000	76
20220522 200604	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	318	TRUE	0.0126310747554436	0.200138637269335	4282	32	0.0231160492635706	12677000	77
20220522 200645	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	96	TRUE	0.0561359566387188	0.359323277722365	3258	526	0.0156114323875464	13595000	78
20220522 200702	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	14	TRUE	0.21997850134866	0.479099231934032	6075	35	0.00834613902017571	11180000	79
20220522 200734	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	79	TRUE	0.0599225871467908	0.992362755504233	4039	296	0.0165838517326608	12869000	80
20220522 200945	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	528	TRUE	0.010148830603429	0.708081942597975	6982	94	0.0157117382194509	13075000	81
20220522 200958	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	25	TRUE	0.299969231013657	0.214918550315646	7221	1024	0.0170292835315474	12709000	82
20220522 201012	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	17	TRUE	0.299108368554528	0.202404134091084	4825	286	0.0175189087074622	12825000	83
20220522 201129	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	326	TRUE	0.0277293017846131	0.226330515164525	6461	1001	0.0174074135682573	13142000	84
20220522 201200	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	100	TRUE	0.0856258712075905	0.201939079618429	4016	569	0.0153591735134186	13434000	85
