fecha	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	verbosity	seed	max_depth	min_gain_to_split	lambda_l1	lambda_l2	max_bin	num_iterations	force_row_wise	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	prob_corte	ganancia	iteracion
20220522 153413	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	603	TRUE	0.0104943629364893	0.529069801817393	5822	1019	0.0114879137431544	13107000	99
20220522 153615	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	341	TRUE	0.0100044547755084	0.563614925719912	3186	601	0.0164725133852467	13516000	100
20220522 153934	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	494	TRUE	0.010661593269705	0.604897264796309	3214	431	0.0120619557038605	13621000	101
20220522 154045	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	80	TRUE	0.055822508213659	0.412473839867936	1785	412	0.0182459235599089	13316000	102
20220522 154543	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	256	TRUE	0.0104273059620579	0.721028347678741	739	1023	0.0164895611843231	13670000	103
20220522 154659	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	56	TRUE	0.043864616307596	0.9656600976728	1221	1024	0.0187382958368449	13059000	104
20220522 154758	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	70	TRUE	0.0778035983202283	0.455217786891068	3054	221	0.0133861116435322	13192000	105
20220522 154834	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	41	TRUE	0.131458509600535	0.413152143433143	7952	453	0.0196866335238277	12831000	106
20220522 154904	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	24	TRUE	0.18768385367682	0.450819437111449	6005	187	0.01746775559667	13184000	107
20220522 155127	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	815	TRUE	0.0114205094907212	0.200922786949998	6102	16	0.0148142080143767	13497000	108
20220522 155214	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	80	TRUE	0.106236608215955	0.332201198472353	6025	793	0.0132994590331277	13158000	109
20220522 155618	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	514	TRUE	0.0102586451394033	0.737530871971077	5378	1024	0.00860078994207615	11608000	110
20220522 160135	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	269	TRUE	0.0103086513073513	0.778770649916027	640	1018	0.0193657102928119	13034000	111
20220522 160646	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	646	TRUE	0.0106158468329138	0.391744631687528	6111	30	0.0140976442986393	13236000	112
20220522 161203	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	512	TRUE	0.0133629919546445	0.587915761710005	1561	355	0.0143914826501256	13821000	113
20220522 161227	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	20	TRUE	0.230095001563924	0.691057524568355	4760	1022	0.0197329680289525	12903000	114
20220522 161705	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	642	TRUE	0.0105369789043691	0.324669930262864	2885	1018	0.0188026588327296	13247000	115
20220522 161941	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	404	TRUE	0.010010123708928	0.958534361743398	2192	324	0.0166240852564227	13243000	116
20220522 162225	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	535	TRUE	0.0107162647567493	0.68271887491633	2602	339	0.0134084332736098	13905000	117
20220522 162342	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	295	TRUE	0.0219974500210225	0.510273316011182	2046	48	0.0161805750214894	13659000	118
20220522 162532	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	365	TRUE	0.0106988036004171	0.999265463545556	7372	152	0.0220735343588137	12440000	119
20220522 162850	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	716	TRUE	0.0104873039583088	0.308086558972414	4141	38	0.0147930598312242	13358000	120
20220522 163132	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	456	TRUE	0.0145788908305405	0.415204206755318	2763	996	0.0125878778420728	13817000	121
20220522 163156	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	45	TRUE	0.140692418952684	0.604534802055498	3194	450	0.0131200396823552	13018000	122
20220522 163251	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	98	TRUE	0.0426148104044372	0.397877269707835	1906	1007	0.0153464448787729	13615000	123
